"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14980","userCantTransferWrongAmountOfMoneyTest(double, double, String) [2] amountOfMoneyToDeposit=10.0, amountMoneyToTransfer=-1.0, errorMessage=Invalid transfer: insufficient funds or invalid accounts","","Sat Dec 20 22:07:58 UTC 2025","passed","Sat Dec 20 22:08:13 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCantTransferWrongAmountOfMoneyTest"
"","8305","Admin user can create new user with correct data. Positive alert. User added in user list on UI. API return all users","","Sat Dec 20 22:07:58 UTC 2025","passed","Sat Dec 20 22:08:06 UTC 2025","","iteration1.ui.CreateUserTest","iteration1.ui.CreateUserTest","adminCanCreateUserTest"
"","4673","userCantTransferWrongAmountOfMoneyTest(double, double, String) [1] amountOfMoneyToDeposit=10.0, amountMoneyToTransfer=0.0, errorMessage=Invalid transfer: insufficient funds or invalid accounts","","Sat Dec 20 22:08:10 UTC 2025","passed","Sat Dec 20 22:08:14 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCantTransferWrongAmountOfMoneyTest"
"","11809","userCanTransferMoneyOnHisOwnAccountTest()","","Sat Dec 20 22:08:02 UTC 2025","passed","Sat Dec 20 22:08:14 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanTransferMoneyOnHisOwnAccountTest"
"","15430","User can change his name","","Sat Dec 20 22:07:59 UTC 2025","failed","Sat Dec 20 22:08:15 UTC 2025","","iteration2.ui.UpdateCustomerProfileTest","iteration2.ui.UpdateCustomerProfileTest","userCanChangeHisNameTest"
"","4817","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [1] username=   , password=Password33$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Sat Dec 20 22:08:06 UTC 2025","passed","Sat Dec 20 22:08:11 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
"","733","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [3] username=abc$, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Sat Dec 20 22:08:12 UTC 2025","passed","Sat Dec 20 22:08:13 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
"","5355","userCantDepositWrongAmountTest(double, String) [3] wrongBalance=5000.01, errorMessage=Deposit amount exceeds the 5000 limit","","Sat Dec 20 22:08:04 UTC 2025","failed","Sat Dec 20 22:08:09 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCantDepositWrongAmountTest"
"","91050","User can login. User panel opened. Token saved at local storage","","Sat Dec 20 22:08:13 UTC 2025","broken","Sat Dec 20 22:09:44 UTC 2025","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","14707","userCantDepositMoneyOnDifferentUserAccountTest()","","Sat Dec 20 22:07:58 UTC 2025","passed","Sat Dec 20 22:08:13 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCantDepositMoneyOnDifferentUserAccountTest"
"","15973","User can transfer money to another user account","","Sat Dec 20 22:07:58 UTC 2025","failed","Sat Dec 20 22:08:14 UTC 2025","","iteration2.ui.TransferTest","iteration2.ui.TransferTest","userCanTransferMoneyToAnotherUserAccountTest"
